news_text,sentiment_score,price_change_1,price_change_2,price_change_3
"Mob研究院报告显示B站Z世代渗透率60%。",0.6,0.420,0.294,0.168
"华润三九员工创新提案增长40%。",0.55,0.385,0.270,0.154
"肯德基推出会员积分兑换新权益。",0.5,0.350,0.245,0.140
"Euromonitor显示波司登羽绒服销量前三。",0.55,0.385,0.270,0.154
"中芯国际14nm工艺良率突破99%。",0.7,0.490,0.343,0.196
"雅诗兰黛与迪士尼推出限量彩妆。",0.6,0.420,0.294,0.168
"SimilarWeb显示小红书搜索热度增长50%。",0.55,0.385,0.270,0.154
"海底捞客户投诉处理满意度达92%。",0.6,0.420,0.294,0.168
"用友网络推出企业ERP云解决方案。",0.55,0.385,0.270,0.154
"Frost报告显示汤臣倍健需求增长35%。",0.6,0.420,0.294,0.168
"奥美中国获年度最佳营销案例奖。",0.65,0.455,0.318,0.182
"凯悦酒店与携程深化战略合作。",0.55,0.385,0.270,0.154
"Strategy Analytics显示米家IoT设备增长40%。",0.6,0.420,0.294,0.168
"美的集团内部流程数字化率提升至80%。",0.55,0.385,0.270,0.154
"华为发布鸿蒙智联全家桶。",0.5,0.350,0.245,0.140
"益普索调查显示晨光文具口碑良好。",0.55,0.385,0.270,0.154
"万科获企业社会责任金奖。",0.6,0.420,0.294,0.168
"Netflix与正午阳光合作华语内容。",0.55,0.385,0.270,0.154
"NPD报告显示李宁运动鞋需求旺盛。",0.6,0.420,0.294,0.168
"宝洁中国优化绩效考核体系。",0.5,0.350,0.245,0.140
"Spotify推出中文播客订阅服务。",0.55,0.385,0.270,0.154
"CB Insights显示飞鹤奶粉复购率65%。",0.6,0.420,0.294,0.168
"施耐德电气获工业数字化转型奖。",0.65,0.455,0.318,0.182
"Lululemon举办全球瑜伽日活动。",0.6,0.420,0.294,0.168
"IDC报告显示大疆教育无人机增长50%。",0.55,0.385,0.270,0.154
"罗氏制药中国研发中心投入增加。",0.5,0.350,0.245,0.140
"艾瑞咨询显示Keep运动装备品类丰富。",0.5,0.350,0.245,0.140
"伊顿公司获绿色供应链创新奖。",0.6,0.420,0.294,0.168
"乐高与漫威推出联名积木。",0.55,0.385,0.270,0.154
"航空周刊报道商飞C919技术突破。",0.65,0.455,0.318,0.182
"西门子数字化工厂效率提升30%。",0.55,0.385,0.270,0.154
"普华永道发布ESG透明度报告。",0.5,0.350,0.245,0.140
"Euromonitor显示顾家家居风格多样。",0.55,0.385,0.270,0.154
"联邦快递获亚洲供应链金奖。",0.6,0.420,0.294,0.168
"Under Armour签约NBA球星代言。",0.55,0.385,0.270,0.154
"户外装备测评显示探路者品质优秀。",0.6,0.420,0.294,0.168
"3M中国实施员工关怀计划。",0.5,0.350,0.245,0.140
"苹果发布健康监测手表Series 9。",0.55,0.385,0.270,0.154
"餐饮协会报告显示九阳设备覆盖率80%。",0.5,0.350,0.245,0.140
"SGS认证格兰仕质量可靠性达标。",0.6,0.420,0.294,0.168
"环球影业推出功夫熊猫主题产品。",0.55,0.385,0.270,0.154
"彭博新能源预测比亚迪充电桩需求。",0.6,0.420,0.294,0.168
"波士顿咨询发布蔚来用户运营案例。",0.55,0.385,0.270,0.154
"奇安信推出企业数据安全方案。",0.6,0.420,0.294,0.168
"美容仪器测评显示雅萌技术领先。",0.55,0.385,0.270,0.154
"邓白氏报告肯定海尔海外扩张。",0.65,0.455,0.318,0.182
"毕马威优化企业财税管理系统。",0.5,0.350,0.245,0.140
"USDA报告显示伊利牧场数字化进展。",0.55,0.385,0.270,0.154
"三一重工举办全球技能大赛。",0.5,0.350,0.245,0.140
"钉钉推出智慧校园解决方案。",0.55,0.385,0.270,0.154
"文创行业报告显示故宫IP价值第一。",0.5,0.350,0.245,0.140
"中国电科获国防科技创新奖。",0.65,0.455,0.318,0.182
"麦当劳与Line Friends联名餐厅。",0.6,0.420,0.294,0.168
"海事展显示中集海洋工程前景。",0.55,0.385,0.270,0.154
"GE中国创新孵化器成果显著。",0.5,0.350,0.245,0.140
"阿里云发布企业级云服务平台。",0.6,0.420,0.294,0.168
"宠物行业白皮书显示小佩智能用品热销。",0.5,0.350,0.245,0.140
"世界品牌实验室评海尔百强品牌。",0.65,0.455,0.318,0.182
"耐克举办公益跑筹集善款2000万。",0.6,0.420,0.294,0.168
"食品机械展显示安琪酵母设备可靠。",0.55,0.385,0.270,0.154
"德勤报告显示字节跳动员工满意度提升。",0.5,0.350,0.245,0.140
"华为发布全屋智能5.0解决方案。",0.6,0.420,0.294,0.168
"体育用品展显示舒华体育品类齐全。",0.5,0.350,0.245,0.140
"联合利华获绿色供应链实践奖。",0.6,0.420,0.294,0.168
"泡泡玛特推出海绵宝宝限量款。",0.55,0.385,0.270,0.154
"航空材料展显示宝钛股份技术领先。",0.65,0.455,0.318,0.182
"埃森哲完成业务流程优化项目。",0.55,0.385,0.270,0.154
"百度发布企业AI开发平台。",0.6,0.420,0.294,0.168
"珠宝设计展显示周大福创意新颖。",0.5,0.350,0.245,0.140
"怡安翰威特最佳雇主调研发布。",0.6,0.420,0.294,0.168
"特斯拉客户投诉处理流程标准化。",0.0,0.000,0.000,0.000
"钢铁行业铁矿石价格波动收窄。",0.0,0.000,0.000,0.000
"联想集团员工流动率保持8%水平。",0.0,0.000,0.000,0.000
"Gartner显示企业上云速度平稳。",0.1,0.070,0.049,0.028
"富士康深圳工厂效率提升计划进行中。",0.0,0.000,0.000,0.000
"CES展会汽车电子创新趋同。",0.0,0.000,0.000,0.000
"宝洁年度战略分解至各事业部。",0.0,0.000,0.000,0.000
"尼尔森报告传统快消需求稳定。",0.0,0.000,0.000,0.000
"花旗银行维持现有信贷政策。",0.0,0.000,0.000,0.000
"ISO质量管理标准修订中。",0.0,0.000,0.000,0.000
"欧莱雅新品推广效果达预期。",0.0,0.000,0.000,0.000
"IDC显示PC市场集中度微升。",0.0,0.000,0.000,0.000
"IBM绩效考核体系运行平稳。",0.0,0.000,0.000,0.000
"半导体设备折旧成本缓慢下降。",0.1,0.070,0.049,0.028
"Salesforce系统迁移顺利完成。",0.0,0.000,0.000,0.000
"大宗商品供应渠道多元化。",0.0,0.000,0.000,0.000
"埃森哲合作伙伴会议如期举行。",0.0,0.000,0.000,0.000
"FDA新规解读研讨会召开。",0.0,0.000,0.000,0.000
"惠普打印机市场份额保持稳定。",0.0,0.000,0.000,0.000
"贝恩报告奢侈品消费增长放缓。",0.0,0.000,0.000,0.000
"西门子内部创新机制常态化。",0.1,0.070,0.049,0.028
"世界经济论坛行业交流举行。",0.0,0.000,0.000,0.000
"可口可乐分红方案按计划实施。",0.0,0.000,0.000,0.000
"麦肯锡指出企业数字化进程平稳。",0.0,0.000,0.000,0.000
"雀巢全球质量体系执行严格。",0.0,0.000,0.000,0.000
"汽车零部件合作模式创新有限。",0.0,0.000,0.000,0.000
"甲骨文员工培训效果评估一般。",0.0,0.000,0.000,0.000
"益普索调查环保意识提升但消费未变。",0.1,0.070,0.049,0.028
"阿斯利康新药研发按计划推进。",0.0,0.000,0.000,0.000
"IEEE技术峰会议题延续去年。",0.0,0.000,0.000,0.000
"Interbrand估值微软品牌稳定。",0.0,0.000,0.000,0.000
"IMF预测全球经济温和增长。",0.0,0.000,0.000,0.000
"SAP系统升级后运行平稳。",0.0,0.000,0.000,0.000
"猎头行业人才流动趋势稳定。",0.0,0.000,0.000,0.000
"American Express客户活动如期举办。",0.0,0.000,0.000,0.000
"PwC报告并购市场活跃度正常。",0.0,0.000,0.000,0.000
"联合利华供应链优化持续推进。",0.0,0.000,0.000,0.000
"欧盟环保法规执行力度稳定。",0.0,0.000,0.000,0.000
"戴尔产品市场渗透缓慢提升。",0.0,0.000,0.000,0.000
"尼尔森显示促销敏感度仍高。",0.0,0.000,0.000,0.000
"辉瑞组织架构调整过渡顺利。",0.0,0.000,0.000,0.000
"波士顿咨询显示研发成果转化率低。",0.1,0.070,0.049,0.028
"德勤员工满意度与去年持平。",0.0,0.000,0.000,0.000
"必和必拓原材料质量稳定。",0.0,0.000,0.000,0.000
"MIT媒体实验室合作项目推进中。",0.0,0.000,0.000,0.000
"MWC展会参展商数量持平。",0.0,0.000,0.000,0.000
"索尼全球售后体系完善。",0.0,0.000,0.000,0.000
"旅游业季节性波动规律延续。",0.0,0.000,0.000,0.000
"埃森哲团队建设活动如期举行。",0.0,0.000,0.000,0.000
"Gartner开展云计算培训。",0.0,0.000,0.000,0.000
"万事达卡安全系统升级完成。",0.0,0.000,0.000,0.000
"消费者对智能手机功能创新放缓。",0.0,0.000,0.000,0.000
"普华永道加强信息安全措施。",0.0,0.000,0.000,0.000
"UL认证标准更新有序推进。",0.0,0.000,0.000,0.000
"亚马逊平台销量排名变化不大。",0.0,0.000,0.000,0.000
"世界银行指出区域经济差异持续。",0.0,0.000,0.000,0.000
"麦肯锡内部协作效率待提升。",0.0,0.000,0.000,0.000
"FTC反垄断执法力度稳定。",0.0,0.000,0.000,0.000
"WPP品牌传播效果逐步显现。",0.0,0.000,0.000,0.000
"凯度调查国牌接受度缓升。",0.1,0.070,0.049,0.028
"丰田成本控制效果显现缓慢。",0.0,0.000,0.000,0.000
"5G应用成本下降速度不及预期。",0.0,0.000,0.000,0.000
"高盛员工激励调整反响平淡。",0.0,0.000,0.000,0.000
"贝恩报告行业集中度增速放缓。",0.0,0.000,0.000,0.000
"IBM流程优化项目验收通过。",0.0,0.000,0.000,0.000
"汽车产业链协作紧密度一般。",0.0,0.000,0.000,0.000
"三星新兴市场进展低于预期。",0.0,0.000,0.000,0.000
"大宗商品库存管理保持稳定。",0.0,0.000,0.000,0.000
"德勤合作伙伴数量稳步增加。",0.0,0.000,0.000,0.000
"EPA环保法规宣导全面开展。",0.0,0.000,0.000,0.000
"飞利浦客户满意度改善缓慢。",0.0,0.000,0.000,0.000
"IDC指出数字化转型挑战多。",0.0,0.000,0.000,0.000
"强生质量检测效率提升有限。",0.0,0.000,0.000,0.000
"世界技能大赛促进人才交流。",0.0,0.000,0.000,0.000
"思科岗位轮换制度实施顺利。",0.0,0.000,0.000,0.000
"消费者对产品外观关注度降低。",0.0,0.000,0.000,0.000
"3M创新文化氛围浓厚但产出少。",0.1,0.070,0.049,0.028
"半导体技术合作项目数量增。",0.0,0.000,0.000,0.000
"LV品牌传承活动如期举办。",0.0,0.000,0.000,0.000
"航运业季节性特征应对成熟。",0.0,0.000,0.000,0.000
"Oracle数据准确性保持高位。",0.0,0.000,0.000,0.000
"ISO参与企业竞争加剧。",0.0,0.000,0.000,0.000
"佳能复印机市场份额稳定。",0.0,0.000,0.000,0.000
"进口奶粉依赖度缓慢下降。",0.1,0.070,0.049,0.028
"保洁员工关怀活动反响良好。",0.0,0.000,0.000,0.000
"GDPR数据监管持续加强。",0.0,0.000,0.000,0.000
"Salesforce系统功能完善。",0.0,0.000,0.000,0.000
"BCG指出行业创新不足。",0.0,0.000,0.000,0.000
"埃森哲培训师资力量增强。",0.0,0.000,0.000,0.000
"CES参会人数创新高。",0.0,0.000,0.000,0.000
"英特尔绩效考核指标优化。",0.0,0.000,0.000,0.000
"环保包装接受度提升但成本敏感。",0.1,0.070,0.049,0.028
"思科内部沟通渠道畅通。",0.0,0.000,0.000,0.000
"PMI认证通过率保持稳定。",0.0,0.000,0.000,0.000
"沃尔玛电商促销效果有限。",0.0,0.000,0.000,0.000
"德勤报告行业集中度不明朗。",0.0,0.000,0.000,0.000
"宜家成本控制措施严格。",0.0,0.000,0.000,0.000
"IEEE标准更新周期延长。",0.0,0.000,0.000,0.000
"汇丰员工流失率保持正常。",0.0,0.000,0.000,0.000
"消费者从价格转向品质关注。",0.1,0.070,0.049,0.028
"杜邦创新激励效果显现慢。",0.0,0.000,0.000,0.000
"光伏产业链协作模式探索中。",0.0,0.000,0.000,0.000
"尼尔森调查回复率稳定。",0.0,0.000,0.000,0.000
"麦肯锡称数字化机遇与挑战并存。",0.0,0.000,0.000,0.000
"雅培质量管理体系有效。",0.0,0.000,0.000,0.000
"工程师短缺问题缓解缓慢。",0.0,0.000,0.000,0.000
"耐克新兴市场策略调整中。",0.0,0.000,0.000,0.000
"CRU报告原材料供应稳定。",0.0,0.000,0.000,0.000
"安永合作伙伴策略优化。",0.0,0.000,0.000,0.000
"FDA新规适应期延长。",0.0,0.000,0.000,0.000
"万豪品牌知名度缓升。",0.0,0.000,0.000,0.000
"航空业季节性影响减弱。",0.0,0.000,0.000,0.000
"IBM培训跟踪机制完善。",0.0,0.000,0.000,0.000
"红点奖参赛质量提高。",0.0,0.000,0.000,0.000
"eBay搜索热度稳定。",0.0,0.000,0.000,0.000
"消费者功能需求变化缓慢。",0.0,0.000,0.000,0.000
"赛门铁克安全措施升级。",0.0,0.000,0.000,0.000
"IEEE合作项目成功率低。",0.0,0.000,0.000,0.000
"Visa客户维护成本稳定。",0.0,0.000,0.000,0.000
"BCG指出创新制约发展。",0.0,0.000,0.000,0.000
"丹纳赫检测设备更新完成。",0.0,0.000,0.000,0.000
"Six Sigma认证难度稳定。",0.0,0.000,0.000,0.000
"Target促销活动频繁。",0.0,0.000,0.000,0.000
"环保产品购买意愿未明显提升。",0.1,0.070,0.049,0.028
"GE绩效考核应用合理。",0.0,0.000,0.000,0.000
"TechCrunch大会频率增加。",0.0,0.000,0.000,0.000
"香奈儿文化活动影响扩大。",0.0,0.000,0.000,0.000
"IDC称数字化加速不明显。",0.0,0.000,0.000,0.000
"谷歌员工关怀形式多样。",0.0,0.000,0.000,0.000
"CCPA数据监管加强。",0.0,0.000,0.000,0.000
"阳狮集团渠道拓展顺利。",0.0,0.000,0.000,0.000
"进口替代意愿缓慢增强。",0.1,0.070,0.049,0.028
"霍尼韦尔成本控制见效。",0.0,0.000,0.000,0.000
"半导体合作项目数量增。",0.0,0.000,0.000,0.000
"Wayfair销售增长缓慢。",0.0,0.000,0.000,0.000
"价格敏感度变化不大。",0.0,0.000,0.000,0.000
"博世培训资源充足。",0.0,0.000,0.000,0.000
"技能人才短缺缓解加速。",0.0,0.000,0.000,0.000
"爱马仕文化创新活动。",0.0,0.000,0.000,0.000
"麦肯锡称数字化遇瓶颈。",0.0,0.000,0.000,0.000
"施耐德质量管理优化。",0.0,0.000,0.000,0.000
"IEC标准更新加速。",0.0,0.000,0.000,0.000
"Lowe's营销效果良好。",0.0,0.000,0.000,0.000
"需求多样化趋势缓慢。",0.0,0.000,0.000,0.000
"辉瑞考核指标科学。",0.0,0.000,0.000,0.000
"CES创新性不足。",0.0,0.000,0.000,0.000
"WPP策略调整中。",0.0,0.000,0.000,0.000
"麦肯锡称创新需加强。",0.0,0.000,0.000,0.000
"UL检测流程优化。",0.0,0.000,0.000,0.000
"PMP通过率提升有限。",0.0,0.000,0.000,0.000
"eBay排名稳定。",0.0,0.000,0.000,0.000
"可降解包装认可度提升。",0.1,0.070,0.049,0.028
"拜耳培训跟踪完善。",0.0,0.000,0.000,0.000
"合作成功率略升。",0.0,0.000,0.000,0.000
"J.D.Power回复率提高。",0.0,0.000,0.000,0.000
"旅游业季节性减弱。",0.0,0.000,0.000,0.000
"汉高考核应用合理。",0.0,0.000,0.000,0.000
"机器人赛人数增加。",0.0,0.000,0.000,0.000
"IKEA好评率稳定。",0.0,0.000,0.000,0.000
"功能需求未变。",0.0,0.000,0.000,0.000
"特斯拉因自动驾驶事故被NHTSA调查。",-0.9,-0.630,-0.441,-0.252
"波音737 MAX再曝质量问题停飞。",-0.9,-0.630,-0.441,-0.252
"恒大集团债务违约引发连锁反应。",-0.95,-0.665,-0.465,-0.266
"英特尔CPU漏洞影响全球服务器。",-0.85,-0.595,-0.416,-0.238
"脸书用户数据泄露遭欧盟重罚。",-0.9,-0.630,-0.441,-0.252
"蔚来汽车电池自燃率超标。",-0.8,-0.560,-0.392,-0.224
"三星Note7电池缺陷全球召回。",-0.9,-0.630,-0.441,-0.252
"瑞幸咖啡财务造假退市。",-0.95,-0.665,-0.465,-0.266
"Zoom视频加密缺陷引发安全担忧。",-0.8,-0.560,-0.392,-0.224
"沃尔玛食品安全问题曝光。",-0.7,-0.490,-0.343,-0.196
"美联航暴力驱客引发抵制。",-0.8,-0.560,-0.392,-0.224
"东芝财务造假市值蒸发40%。",-0.85,-0.595,-0.416,-0.238
"大众排放门罚款超300亿美元。",-0.9,-0.630,-0.441,-0.252
"新东方在线教育业务收缩30%。",-0.7,-0.490,-0.343,-0.196
"惠普打印机芯片限制惹争议。",-0.75,-0.525,-0.368,-0.210
"爱彼迎中国业务全面关闭。",-0.8,-0.560,-0.392,-0.224
"滴滴APP下架损失数十亿。",-0.85,-0.595,-0.416,-0.238
"麦当劳俄罗斯业务被迫出售。",-0.7,-0.490,-0.343,-0.196
"推特大规模裁员引动荡。",-0.75,-0.525,-0.368,-0.210
"WeWork上市失败估值暴跌。",-0.9,-0.630,-0.441,-0.252
"通用汽车罢工损失20亿美元。",-0.8,-0.560,-0.392,-0.224
"软银愿景基金投资巨亏。",-0.85,-0.595,-0.416,-0.238
"诺基亚手机业务彻底退出。",-0.7,-0.490,-0.343,-0.196
"黑莓终止手机业务转型。",-0.65,-0.455,-0.318,-0.182
"百胜中国食品安全事件频发。",-0.7,-0.490,-0.343,-0.196
"GAP退出中国市场。",-0.6,-0.420,-0.294,-0.168
"Zara中国关店潮。",-0.65,-0.455,-0.318,-0.182
"H&M新疆棉事件遭抵制。",-0.75,-0.525,-0.368,-0.210
"优衣库日本市场萎缩。",-0.6,-0.420,-0.294,-0.168
"索尼手机业务持续亏损。",-0.65,-0.455,-0.318,-0.182
"戴尔PC份额跌出前三。",-0.6,-0.420,-0.294,-0.168
"IBM云计算进展缓慢。",-0.65,-0.455,-0.318,-0.182
"甲骨文数据库漏洞频出。",-0.7,-0.490,-0.343,-0.196
"思科中国业务受阻。",-0.65,-0.455,-0.318,-0.182
"高通反垄断罚款累积超50亿。",-0.75,-0.525,-0.368,-0.210
"AMD显卡库存积压。",-0.6,-0.420,-0.294,-0.168
"英伟达矿卡滞销。",-0.65,-0.455,-0.318,-0.182
"西部数据硬盘故障率高。",-0.7,-0.490,-0.343,-0.196
"希捷裁员15%缩减产能。",-0.65,-0.455,-0.318,-0.182
"美光科技被中国制裁。",-0.7,-0.490,-0.343,-0.196
"SK海力士工厂火灾。",-0.75,-0.525,-0.368,-0.210
"东芝核电业务巨亏。",-0.8,-0.560,-0.392,-0.224
"三菱汽车油耗造假。",-0.85,-0.595,-0.416,-0.238
"日产前CEO潜逃事件。",-0.9,-0.630,-0.441,-0.252
"马自达中国市场萎缩。",-0.65,-0.455,-0.318,-0.182
"斯巴鲁发动机缺陷。",-0.7,-0.490,-0.343,-0.196
"现代汽车罢工损失。",-0.75,-0.525,-0.368,-0.210
"起亚设计缺陷召回。",-0.7,-0.490,-0.343,-0.196
"福特电动车自燃事故。",-0.8,-0.560,-0.392,-0.224
"克莱斯勒破产重组。",-0.85,-0.595,-0.416,-0.238
"捷豹路虎质量投诉多。",-0.7,-0.490,-0.343,-0.196
"保时捷排放软件作弊。",-0.75,-0.525,-0.368,-0.210
"劳斯莱斯销量下滑。",-0.6,-0.420,-0.294,-0.168
"宾利电动化转型迟缓。",-0.65,-0.455,-0.318,-0.182
"阿斯顿马丁连年亏损。",-0.7,-0.490,-0.343,-0.196
"法拉利赛车成绩下滑。",-0.65,-0.455,-0.318,-0.182
"兰博基尼芯片短缺。",-0.6,-0.420,-0.294,-0.168
"玛莎拉蒂口碑下降。",-0.65,-0.455,-0.318,-0.182
"阿尔法罗密欧退市。",-0.7,-0.490,-0.343,-0.196
"Jeep品牌老化严重。",-0.65,-0.455,-0.318,-0.182
"道奇肌肉车停产。",-0.6,-0.420,-0.294,-0.168
"RAM皮卡安全评级低。",-0.65,-0.455,-0.318,-0.182
"GMC电动化进展慢。",-0.6,-0.420,-0.294,-0.168
"凯迪拉克销量不及预期。",-0.65,-0.455,-0.318,-0.182
"林肯中国战略失败。",-0.7,-0.490,-0.343,-0.196
"沃尔沃自动驾驶事故。",-0.75,-0.525,-0.368,-0.210
"Polestar交付延迟。",-0.7,-0.490,-0.343,-0.196
"极星品牌认知度低。",-0.65,-0.455,-0.318,-0.182
"路特斯电动化遇阻。",-0.6,-0.420,-0.294,-0.168
"迈凯伦财务危机。",-0.75,-0.525,-0.368,-0.210
"布加迪成本失控。",-0.7,-0.490,-0.343,-0.196
"柯尼塞格产能不足。",-0.65,-0.455,-0.318,-0.182
"帕加尼市场萎缩。",-0.6,-0.420,-0.294,-0.168
"特斯拉上海工厂因环保问题被罚。",-0.8,-0.560,-0.392,-0.224
"宁德时代Q1净利润同比下降23%。",-0.7,-0.490,-0.343,-0.196
"隆基绿能硅片库存积压。",-0.65,-0.455,-0.318,-0.182
"比亚迪电池起火调查。",-0.75,-0.525,-0.368,-0.210
"小鹏汽车自动驾驶事故。",-0.8,-0.560,-0.392,-0.224
"理想ONE突然停产维权。",-0.85,-0.595,-0.416,-0.238
